frameno,left,top,right,bottom
103,905.36,204.8,916.68,217.47
104,906.54,207.86,918.12,220.6
105,907.72,210.92,919.56,223.72
106,908.9,213.99,921.0,226.85
107,910.08,217.05,922.44,229.97
108,911.26,220.11,923.88,233.09
109,912.44,223.17,925.32,236.22
110,913.61,226.24,926.76,239.34
111,914.79,229.3,928.2,242.47
112,916.21,232.66,929.62,245.93
113,917.62,236.02,931.03,249.39
114,919.04,239.38,932.45,252.85
115,920.45,242.74,933.86,256.31
116,921.87,246.1,935.28,259.76
117,923.28,249.46,936.69,263.22
118,924.7,252.82,938.11,266.68
119,926.11,256.18,939.52,270.14
120,927.53,259.54,940.94,273.6
121,928.94,262.9,942.35,277.06
122,930.58,267.79,944.08,282.05
123,932.21,272.68,945.8,287.04
124,933.84,277.57,947.53,292.04
125,935.47,282.46,949.25,297.03
126,937.1,287.35,950.98,302.02
127,938.73,292.24,952.7,307.01
128,940.36,297.13,954.43,312.0
129,941.99,302.02,956.15,316.99
130,943.63,306.91,957.88,321.99
131,945.26,311.8,959.6,326.98
132,947.12,317.67,961.62,333.02
133,948.99,323.54,963.64,339.05
134,950.86,329.41,965.66,345.09
135,952.72,335.28,967.68,351.13
136,954.59,341.15,969.7,357.16
137,956.45,347.02,971.72,363.2
138,958.32,352.89,973.74,369.23
139,960.19,358.76,975.76,375.27
140,962.05,364.63,977.78,381.31
141,963.92,370.5,979.8,387.34
142,910.3,367.34,926.39,383.97
143,856.67,364.19,872.99,380.6
144,803.05,361.03,819.58,377.23
145,749.43,357.88,766.18,373.86
146,695.81,354.72,712.77,370.49
147,642.19,351.57,659.37,367.12
148,588.56,348.41,605.96,363.75
149,583.63,350.18,601.24,365.3
150,578.69,351.94,596.52,366.84
151,573.75,353.7,591.8,368.39
152,569.43,355.41,587.09,370.1
153,566.2,358.13,583.46,372.82
154,562.82,358.47,579.69,373.16
155,560.79,360.33,577.26,375.02
156,560.23,361.79,576.3,376.48
157,559.98,363.25,575.65,377.93
158,560.28,364.7,575.56,379.39
159,562.42,366.16,577.31,380.85
160,564.56,367.62,579.05,382.31
161,566.7,369.08,580.8,383.77
162,569.19,370.79,583.06,385.48
163,571.67,372.51,585.32,387.2
164,574.16,374.23,587.58,388.92
165,576.65,375.95,589.84,390.64
166,579.13,377.66,592.1,392.35
167,581.62,379.38,594.36,394.07
168,584.1,381.1,596.62,395.79
169,586.59,382.82,598.88,397.51
170,589.08,384.53,601.14,399.22
171,591.56,386.25,603.4,400.94
172,592.25,388.57,604.38,403.26
173,592.94,390.9,605.36,405.59
174,593.62,393.22,606.34,407.91
175,594.31,395.54,607.32,410.23
176,595.0,397.87,608.3,412.56
177,595.69,400.19,609.28,414.88
178,596.37,402.51,610.26,417.2
179,597.06,404.83,611.24,419.52
180,597.75,407.16,612.22,421.85
181,598.43,409.48,613.2,424.17
182,599.66,411.98,614.52,426.72
183,600.89,414.48,615.84,429.27
184,602.11,416.99,617.16,431.82
185,603.34,419.49,618.48,434.38
186,604.57,421.99,619.8,436.93
187,605.79,424.49,621.12,439.48
188,607.02,426.99,622.44,442.03
189,608.25,429.5,623.76,444.58
190,609.47,432.0,625.08,447.13
191,610.7,434.5,626.4,449.69
192,612.22,437.35,628.06,452.68
193,613.74,440.2,629.73,455.67
194,615.25,443.05,631.39,458.65
195,616.77,445.9,633.05,461.64
196,618.29,448.75,634.71,464.63
197,619.81,451.6,636.38,467.62
198,621.32,454.45,638.04,470.61
199,622.84,457.3,639.7,473.6
